eps_s,eps_t,Equilibrium Temperature Difference (T_eq - T_atm)
0.02,0.95,-9.781916986290469
0.02,0.96,-9.87501477748117
0.02,0.97,-9.967459972930556
0.02,0.98,-10.05926006146268
0.02,0.99,-10.15042240988663
0.02,1.0,-10.240954265586765
0.03,0.0,5.880093989144314
0.03,0.01,5.640295092014014
0.03,0.02,5.403652132284378
0.03,0.03,5.170093128521614
0.03,0.04,4.939548489282117
0.03,0.05,4.71195090852126
0.03,0.06,4.487235266577443
0.03,0.07,4.265338536553031
0.03,0.08,4.046199695661414
0.03,0.09,3.8297596411729273
0.03,0.1,3.615961110834462
0.03,0.11,3.4047486072751667
0.03,0.12,3.196068326341617
0.03,0.13,2.989868089036122
0.03,0.14,2.786097276791736
0.03,0.15,2.584706770009518
0.03,0.16,2.3856488895918915
0.03,0.17,2.1888773412473483
0.03,0.18,1.994347162564054
0.03,0.19,1.8020146724882693
0.03,0.2,1.6118374232571
0.03,0.21,1.423774154559851
0.03,0.22,1.2377847497508583
0.03,0.23,1.0538301941681993
0.03,0.24,0.8718725352273964
0.03,0.25,0.6918748443894742
0.03,0.26,0.5138011807956104
0.03,0.27,0.3376165564960161
0.03,0.28,0.16328690317118344
0.03,0.29,-0.009220959616641267
0.03,0.3,-0.17993935495712776
0.03,0.31,-0.34889977764595415
0.03,0.32,-0.5161329221463689
0.03,0.33,-0.6816687093586324
0.03,0.34,-0.8455363122390054
0.03,0.35,-1.0077641803950996
0.03,0.36,-1.1683800636712363
0.03,0.37,-1.3274110347800843
0.03,0.38,-1.4848835110263394
0.03,0.39,-1.6408232751657579
0.03,0.4,-1.7952554954409834
0.03,0.41,-1.9482047448322533
0.03,0.42,-2.09969501956067
0.03,0.43,-2.2497497568708127
0.03,0.44,-2.398391852167549
0.03,0.45,-2.5456436754326432
0.03,0.46,-2.691527087093789
0.03,0.47,-2.8360634532643303
0.03,0.48,-2.979273660424383
0.03,0.49,-3.1211781295618266
0.03,0.5,-3.2617968297892617
0.03,0.51,-3.401149291500701
0.03,0.52,-3.5392546189848986
0.03,0.53,-3.676131502658677
0.03,0.54,-3.811798230829254
0.03,0.55,-3.9462727010492813
0.03,0.56,-4.079572431074325
0.03,0.57,-4.211714569433354
0.03,0.58,-4.342715905665727
0.03,0.59,-4.4725928801422015
0.03,0.6,-4.6013615936186625
0.03,0.61,-4.729037816431628
0.03,0.62,-4.855636997392935
0.03,0.63,-4.9811742723797465
0.03,0.64,-5.105664472675755
0.03,0.65,-5.229122132965188
0.03,0.66,-5.351561499139791
0.03,0.67,-5.472996535813593
0.03,0.68,-5.59344093360329
0.03,0.69,-5.712908116174674
0.03,0.7,-5.831411247058554
0.03,0.71,-5.948963236283419
0.03,0.72,-6.065576746731608
0.03,0.73,-6.18126420036657
0.03,0.74,-6.296037784230862
0.03,0.75,-6.40990945626578
0.03,0.76,-6.522890950952842
0.03,0.77,-6.634993784776668
0.03,0.78,-6.746229261554106
0.03,0.79,-6.85660847753735
0.03,0.8,-6.966142326431623
0.03,0.81,-7.074841504228402
0.03,0.82,-7.182716513903074
0.03,0.83,-7.289777669974114
0.03,0.84,-7.396035102922667
0.03,0.85,-7.501498763515542
0.03,0.86,-7.606178426937447
0.03,0.87,-7.710083696872289
0.03,0.88,-7.813224009432588
0.03,0.89,-7.915608636984587
0.03,0.9,-8.017246691865012
0.03,0.91,-8.118147129987392
0.03,0.92,-8.21831875437988
0.03,0.93,-8.317770218557314
0.03,0.94,-8.416510029870267
0.03,0.95,-8.514546552725164
0.03,0.96,-8.611888011724375
0.03,0.97,-8.70854249472086
0.03,0.98,-8.804517955783126
0.03,0.99,-8.899822218115787
0.03,1.0,-8.994462976829197
0.04,0.0,7.8388824348562025
0.04,0.01,7.5860220612852345
0.04,0.02,7.33654825878034
0.04,0.03,7.090382227569876
0.04,0.04,6.847447838500045
0.04,0.05,6.60767151364314
0.04,0.06,6.370982113626155
0.04,0.07,6.137310831025502
0.04,0.08,5.906591089619553
0.04,0.09,5.678758449032443
0.04,0.1,5.453750514377191
0.04,0.11,5.23150685070209
0.04,0.12,5.011968901870318
0.04,0.13,4.7950799135454645
0.04,0.14,4.5807848601908745
0.04,0.15,4.369030375632462
0.04,0.16,4.159764687157747
0.04,0.17,3.9529375528562127
0.04,0.18,3.748500201954471
0.04,0.19,3.546405278102668
0.04,0.2,3.346606785368863
0.04,0.21,3.149060036730475
0.04,0.22,2.9537216050500774
0.04,0.23,2.760549276325321
0.04,0.24,2.5695020050296193
0.04,0.25,2.3805398715579145
0.04,0.26,2.193624041589942
0.04,0.27,2.008716727213084
0.04,0.28,1.8257811498375531
0.04,0.29,1.6447815047368408
0.04,0.3,1.4656829270742833
0.04,0.31,1.2884514594645111
0.04,0.32,1.1130540209163655
0.04,0.33,0.9394583770324516
0.04,0.34,0.7676331115685571
0.04,0.35,0.597547599065706
0.04,0.36,0.42917197870247037
0.04,0.37,0.2624771291949628
0.04,0.38,0.09743464470318486
0.04,0.39,-0.065983188267694
0.04,0.4,-0.22780341311641905
0.04,0.41,-0.388052424313571
0.04,0.42,-0.5467559879857049
0.04,0.43,-0.7039392615237148
0.04,0.44,-0.8596268124913422
0.04,0.45,-1.01384263679671
0.04,0.46,-1.166610176169229
0.04,0.47,-1.3179523349742226
0.04,0.48,-1.467891496394543
0.04,0.49,-1.6164495380083963
0.04,0.5,-1.7636478467892402
0.04,0.51,-1.9095073335545294
0.04,0.52,-2.0540484468795057
0.04,0.53,-2.1972911865416904
0.04,0.54,-2.3392551164102997
0.04,0.55,-2.479959376948159
0.04,0.56,-2.619422697232153
0.04,0.57,-2.757663406559118
0.04,0.58,-2.8946994456447896
0.04,0.59,-3.0305483774343998
0.04,0.6,-3.1652273975337266
0.04,0.61,-3.29875334431631
0.04,0.62,-3.431142708618381
0.04,0.63,-3.5624116431765174
0.04,0.64,-3.692575971712472
0.04,0.65,-3.8216511977227015
0.04,0.66,-3.9496525129767974
0.04,0.67,-4.076594805729599
0.04,0.68,-4.202492668699335
0.04,0.69,-4.327360406716764
0.04,0.7,-4.45121204419894
0.04,0.71,-4.574061332347526
0.04,0.72,-4.695921756124449
0.04,0.73,-4.816806541007509
0.04,0.74,-4.936728659526636
0.04,0.75,-5.055700837630695
0.04,0.76,-5.173735560784962
0.04,0.77,-5.2908450799544084
0.04,0.78,-5.407041417365292
0.04,0.79,-5.522336372098664
0.04,0.8,-5.636741525515333
0.04,0.81,-5.750268246509336
0.04,0.82,-5.862927696640952
0.04,0.83,-5.9747308350425214
0.04,0.84,-6.085688423255817
0.04,0.85,-6.195811029887125
0.04,0.86,-6.305109035135274
0.04,0.87,-6.413592635187342
0.04,0.88,-6.52127184648748
0.04,0.89,-6.628156509877499
0.04,0.9,-6.734256294649697
0.04,0.91,-6.8395807024205055
0.04,0.92,-6.944139070961455
0.04,0.93,-7.0479405778878
0.04,0.94,-7.150994244251194
0.04,0.95,-7.253308938032774
0.04,0.96,-7.354893377533472
0.04,0.97,-7.455756134704075
0.04,0.98,-7.555905638315664
0.04,0.99,-7.655350177114997
0.04,1.0,-7.7540979028581205
0.05,0.0,9.796936331742074
0.05,0.01,9.530795442673138
0.05,0.02,9.268280689809558
0.05,0.03,9.009306041867319
0.05,0.04,8.753788441801248
0.05,0.05,8.501647671254034
0.05,0.06,8.252806222609365
0.05,0.07,8.007189178289991
0.05,0.08,7.76472409662216
0.05,0.09,7.525340904008544
0.05,0.1,7.2889717929189715
0.05,0.11,7.055551125269574
0.05,0.12,6.825015341012033
0.05,0.13,6.597302871391548
0.05,0.14,6.372354056773418
0.05,0.15,6.150111068670697
0.05,0.16,5.930517835656872
0.05,0.17,5.713519973065729
0.05,0.18,5.499064716174814
0.05,0.19,5.287100856608731
0.05,0.2,5.0775786819063455
0.05,0.21,4.870449917995359
0.05,0.22,4.665667674346196
0.05,0.23,4.463186391787474
0.05,0.24,4.262961792760905
0.05,0.25,4.064950833813782
0.05,0.26,3.8691116603541786
0.05,0.27,3.6754035634171487
0.05,0.28,3.483786938418689
0.05,0.29,3.294223245691171
0.05,0.3,3.106674972824237
0.05,0.31,2.921105598656766
0.05,0.32,2.7374795587753624
0.05,0.33,2.555762212563593
0.05,0.34,2.3759198116579228
0.05,0.35,2.1979194696752415
0.05,0.36,2.0217291332812124
0.05,0.37,1.8473175544617675
0.05,0.38,1.6746542638696837
0.05,0.39,1.5037095453458278
0.05,0.4,1.334454411426691
0.05,0.41,1.1668605798770955
0.05,0.42,1.0009004511000512
0.05,0.43,0.836547086502037
0.05,0.44,0.673774187701838
0.05,0.45,0.5125560764950592
0.05,0.46,0.35286767568760524
0.05,0.47,0.19468449055949577
0.05,0.48,0.03798259113500535
0.05,0.49,-0.11726140492436343
0.05,0.5,-0.271070348853641
0.05,0.51,-0.42346657651233954
0.05,0.52,-0.5744719237362119
0.05,0.53,-0.7241077410047296
0.05,0.54,-0.8723949076117492
0.05,0.55,-1.019353845317994
0.05,0.56,-1.1650045315133184
0.05,0.57,-1.3093665119098432
0.05,0.58,-1.452458912785346
0.05,0.59,-1.5943004527960056
0.05,0.6,-1.73490945437743
0.05,0.61,-1.8743038547496553
0.05,0.62,-2.0125012165437397
0.05,0.63,-2.1495187380584184
0.05,0.64,-2.285373263201336
0.05,0.65,-2.4200812910280547
0.05,0.66,-2.553658985029415
0.05,0.67,-2.686122182075792
0.05,0.68,-2.8174864010719034
0.05,0.69,-2.9477668513279696
0.05,0.7,-3.076978440657399
0.05,0.71,-3.205135783206117
0.05,0.72,-3.332253207062138
0.05,0.73,-3.4583447615540877
0.05,0.74,-3.583424224387727
0.05,0.75,-3.707505108520536
0.05,0.76,-3.8306006688283105
0.05,0.77,-3.9527239085638257
0.05,0.78,-4.073887585607508
0.05,0.79,-4.194104218563211
0.05,0.8,-4.313386092590747
0.05,0.81,-4.431745265139455
0.05,0.82,-4.549193571467697
0.05,0.83,-4.665742630005127
0.05,0.84,-4.781403847553975
0.05,0.85,-4.8961884243366285
0.05,0.86,-5.0101073588868985
0.05,0.87,-5.123171452831798
0.05,0.88,-5.235391315463687
0.05,0.89,-5.346777368252106
0.05,0.9,-5.457339849187747
0.05,0.91,-5.567088817009903
0.05,0.92,-5.676034155312948
0.05,0.93,-5.7841855765364585
0.05,0.94,-5.891552625836937
0.05,0.95,-5.998144684881765
0.05,0.96,-6.103970975472976
0.05,0.97,-6.209040563137364
0.05,0.98,-6.313362360582914
0.05,0.99,-6.416945131067223
0.05,1.0,-6.5197974916746375
0.06,0.0,11.754180000401789
0.06,0.01,11.47454162715104
0.06,0.02,11.198777951109207
0.06,0.03,10.926795285879962
0.06,0.04,10.65850324698556
0.06,0.05,10.393814598515235
0.06,0.06,10.13264510850297
0.06,0.07,9.874913412613182
0.06,0.08,9.620540885487685
0.06,0.09,9.369451519190193
0.06,0.1,9.121571808437011
0.06,0.11,8.876830641962158
0.06,0.12,8.635159199805628
0.06,0.13,8.396490856059984
0.06,0.14,8.160761086674711
0.06,0.15,7.927907382129774
0.06,0.16,7.697869164602878
0.06,0.17,7.470587709302322
0.06,0.18,7.246006069834152
0.06,0.19,7.024069007294202
0.06,0.2,6.804722922806263
0.06,0.21,6.587915793428692
0.06,0.22,6.373597111163974
0.06,0.23,6.161717824834966
0.06,0.24,5.9522302847898345
0.06,0.25,5.745088190209117
0.06,0.26,5.540246538803444
0.06,0.27,5.3376615789136395
0.06,0.28,5.137290763756596
0.06,0.29,4.939092707784994
0.06,0.3,4.743027144945813
0.06,0.31,4.549054888856574
0.06,0.32,4.3571377947382075
0.06,0.33,4.167238722950913
0.06,0.34,3.9793215041840426
0.06,0.35,3.7933509060977713
0.06,0.36,3.60929260142467
