Wavelength(um),Transmittance,SEBSControl,05um,1um,2um,4um,8um
11.29,0.63131053,0.01043118609,0.02269842105,0.01964176778,0.02320820353,0.02167083395,0.01887125264
11.3,0.63131053,0.01040156454,0.02251004978,0.01953611633,0.02278459858,0.0214455394,0.01865887028
11.31,0.60853434,0.01047219899,0.02223811929,0.01928006804,0.02242091388,0.02123822296,0.01839897887
11.32,0.60853434,0.0106088977,0.02191904618,0.01891349246,0.02216539939,0.0210173368,0.01808927888
11.33,0.60853434,0.01069318679,0.02160865639,0.01848960489,0.02203457702,0.02079189176,0.01774555623
11.34,0.6092461,0.01061801017,0.02133647766,0.01805739612,0.02199246678,0.02057090562,0.01740397682
11.35,0.6092461,0.01039244693,0.02110073842,0.01766164228,0.02198188258,0.02040175066,0.01710301842
11.36,0.61494015,0.01015088162,0.02089898536,0.01735307108,0.02195778615,0.02029573177,0.01688572863
11.37,0.61494015,0.01004603365,0.02074206286,0.01717611986,0.02189247491,0.02021226155,0.01673631359
11.38,0.61494015,0.01012353112,0.02064713066,0.01714737925,0.02175800978,0.02009719619,0.01664121923
11.39,0.62134595,0.01029446188,0.02060992189,0.01724287678,0.02151853896,0.01993698453,0.01658461106
11.4,0.62134595,0.01040156448,0.02059706757,0.01740194406,0.02117714195,0.01975191943,0.01655290907
11.41,0.62490473,0.01033548091,0.02056752446,0.01756437956,0.02079775058,0.01960294,0.01653252865
11.42,0.62490473,0.0101098533,0.02050121836,0.01769127799,0.02049264578,0.01952618422,0.01652120593
11.43,0.62490473,0.009820338852,0.02041302901,0.01776817822,0.02033408049,0.01949457703,0.01648950174
11.44,0.62561648,0.009596878257,0.0203264109,0.01778491454,0.02029889023,0.01949457703,0.01643514936
11.45,0.62561648,0.009505655818,0.02025399769,0.01773244288,0.02028986678,0.01946974192,0.01636267489
11.46,0.62561648,0.009562671024,0.02017954845,0.01760102533,0.02023053542,0.01939974882,0.01628793009
11.47,0.62561648,0.009731417393,0.02007169951,0.01740533705,0.02014390118,0.01930039517,0.01620411851
